CountryName,OfficialName,Code,ISO3Code,UNCode,UNICEFCode,MDGRegion1,MDGRegion1excl,MDGRegion3,MDGRegion4,MDGRegion5,MDGRegion6,UNICEFProgRegion1,UNICEFProgRegion2,MENAEMRORegion,ECACountries,WHORegion1,WBRegion1,WBRegion2,WBRegion3,WBRegion4,WBRegion5,UNPDRegion1,UNPDRegion2,UNPDRegion4,UNPDRegion5,OICRegion1,OICRegion2,OICRegion3,OICRegion4,Countdown.and.COIA.75.Priority.Countries,ECAAfrica,AURegion1,AURegion2,AURECRegion1,AURECRegion2,AURECRegion3,AURECRegion4,AURECRegion5,AURECRegion6,FragileCountries2013,FragileCountries2014,FragileCountries2015,FragileCountries2017,FragileCountries2018,FragileCountries2018OECD1,FragileCountries2018OECD2,FragileCountries2019,FragileCountries2022OECD1,FragileCountries2022OECD2,FCSCountries1,FCSCountries2,USAIDcountry,M49Region1,M49Region2,M49Region3,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion3,SDGSimpleRegion4,SDGSimpleRegion5,SDGSimpleRegion6,SDGRegion1,SDGRegion2,SDGRegion3,SDGRegion4,SDGRegion5,SDGRegion6,HAC2020,HAC2019,GlobalStrategy,Conflict,UNICEFReportRegion1,UNICEFReportRegion2,Wealthdata1,Wealthdata2,Wealthdata3,WealthdataGlobal,Wealthall1,Wealthall2,Wealthall3,WealthallGlobal,UNRegion,AfricanEconomicCommunity,GAVICountries,SPhumanitarian,SPhighburden,JHUFragile2021,LiST_UNICEFProg,LiST_UNICEFRep,LiST_all,ListSBRESCAP,ListSBR,EAPRORegion1,EAPRORegion2,EAPRORegion3,EAPRORegion4,EAPRORegion5,EAPRORegion6,EAPRORegion7,EAPRORegion8,EAPRORegion9,EECA,SDGRCRegion1,SDGRCRegion2,SDGRCRegion3,SDGRCRegion4,SDGRCRegion5,SDGRCRegion6,SDGRCRegion7,SDGRCRegion8,SDGRCRegion9,SDGRCRegion10,SDGRCRegion11,SDGRCRegion12,SDGRCRegion13,SDGRCRegion14,SDGRCRegion15,SDGRCRegion16,SDGRCRegion17,SDGRCRegion18,SDGRCRegion19,SDGRCRegion20,SDGRCRegion21,SDGRCRegion22,SDGRCRegion23,SDGRCRegion24,SDGRCRegion25,SDGRCRegion26,SDGRCRegion27,SDGRCRegion28,SDGRCRegion29,SDGRCRegion30,SDGRCRegion31,SDGRCRegion32,SDGRCRegion33,UNICEFReportRegion
Costa Rica,Costa Rica,115,CRI,188,CTR,Latin America and the Caribbean,Latin America and the Caribbean,"","",Latin America,"",Latin America and Caribbean,Programme countries,"","",Americas,Latin America and the Caribbean,"",High income,High income,"",Latin America and the Caribbean,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Americas,Latin America and the Caribbean,Central America,Latin America and the Caribbean,"","","","","",Latin America and the Caribbean,Latin America and the Caribbean,Central America,Latin America and the Caribbean,"","","","","",Non conflict,Latin America and Caribbean,"","","","","",Latin America and Caribbean,"",Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),"","",Non-humanitarian,Non-high burden,"",Latin America and the Caribbean,Latin America and Caribbean,LiST,"",LiSTSBR,"","","","","","","","","","","",ECLAC_All countries,"","","",ECLAC_Latin America,"","","","","",ESCAP_Latin America (LAC),"","","","","","","","","","","","","","","","","","","","","",Latin America and Caribbean
Cuba,Cuba,112,CUB,192,CBA,Latin America and the Caribbean,Latin America and the Caribbean,"","",Caribbean,SIDS,Latin America and Caribbean,Programme countries,"","",Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"","",Small island developing States,"","",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"",Small island developing States (SIDS),"","","",Non conflict,Latin America and Caribbean,"","","","","",Latin America and Caribbean,"",Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),"",GAVI,Non-humanitarian,Non-high burden,"",Latin America and the Caribbean,Latin America and Caribbean,LiST,"",LiSTSBR,"","","","","","","","","","","",ECLAC_All countries,"","","",ECLAC_Latin America,"","","","","",ESCAP_Latin America (LAC),"","","","","","","","","","","","","","","","","","","","","",Latin America and Caribbean
Cyprus,Cyprus,157,CYP,196,CYP,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Asia,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Asia,Western Asia,"",Northern Africa and Western Asia,Western Asia,"","","","",Northern Africa and Western Asia,Asia,Western Asia,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Asia-Pacific Group,"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Czech Republic,Czechia,162,CZE,203,CZE,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Eastern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Eastern Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Eastern European Group,"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),"","","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Germany,Germany,175,DEU,276,GERB,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Western Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Western Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Djibouti,Djibouti,47,DJI,262,DJB,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Least developed countries,"","",Middle East and North Africa,Programme countries,MENAEMRO,"",Eastern Mediterranean,"Middle East, North Africa, Afghanistan and Pakistan","Middle East, North Africa, Afghanistan and Pakistan (excluding high-income)",Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,OIC,Arab,OIC Lower middle income,OIC Middle income,Countdown,Eastern Africa,Africa,Eastern Africa,"",Common Market for Eastern and Southern Africa (COMESA),Community of Sahel-Saharan States (CEN-SAD),Intergovernmental Authority on Development (IGAD),"","",Non-fragile,Non-fragile,Non-fragile,Fragile,Fragile,Fragile,Other Fragile,Non-fragile,Fragile,Other fragile,non-FCS,"","",Africa,Eastern Africa,"",Sub-Saharan Africa,"",Least developed countries,"","","",Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),"","","","",Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,"","","","",Sub-Saharan Africa,Eastern and Southern Africa,Lower middle income,Low and middle income,African Group,"",GAVI,Non-humanitarian,Non-high burden,"",Middle East and North Africa,Eastern and Southern Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_Eastern Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_IGAD,"",ECA_CEN-SAD,ECA_COMESA,"","",ECA_Non-Oil Producing,ECA_Least developed countries,ECA_Mineral-rich countries,ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","",ESCWA_Arab countries,ESCWA_Arab LDCs subregion,"",ESCWA_Arab Middle-Income Countries (MICs),"",Eastern and Southern Africa
Dominica,Dominica,117,DMA,212,DOM,Latin America and the Caribbean,Latin America and the Caribbean,"","",Caribbean,SIDS,Latin America and Caribbean,Programme countries,"",Eastern Caribbean Area,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"","",Small island developing States,"","",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"",Small island developing States (SIDS),"","","",Non conflict,Latin America and Caribbean,"","","","","",Latin America and Caribbean,"",Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECLAC_All countries,"","","",ECLAC_Carribean,"","","","","",ESCAP_Latin America (LAC),"","","","","","","","","","","","","","","","","","","","","",Latin America and Caribbean
Denmark,Denmark,172,DNK,208,DAN,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Northern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Northern Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),"","","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Dominican Republic,Dominican Republic,116,DOM,214,DMR,Latin America and the Caribbean,Latin America and the Caribbean,"","",Caribbean,SIDS,Latin America and Caribbean,Programme countries,"","",Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,"",Excluding least developed countries,Excluding China,"","","","",Countdown,"","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"","",Small island developing States,"","",Latin America and the Caribbean,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,"",Small island developing States (SIDS),"","","",Non conflict,Latin America and Caribbean,"",Latin America and Caribbean,"",Upper middle income,Low and middle income,Latin America and Caribbean,"",Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),"","",Non-humanitarian,Non-high burden,"",Latin America and the Caribbean,Latin America and Caribbean,LiST,"",LiSTSBR,"","","","","","","","","","","",ECLAC_All countries,"","","",ECLAC_Latin America,"","","","","",ESCAP_Latin America (LAC),"","","","","","","","","","","","","","","","","","","","","",Latin America and Caribbean
Algeria,Algeria,50,DZA,12,ALG,Northern Africa,Northern Africa,North Africa,"","","",Middle East and North Africa,Programme countries,MENAEMRO,"",Africa,"Middle East, North Africa, Afghanistan and Pakistan","Middle East, North Africa, Afghanistan and Pakistan (excluding high-income)",Middle income,Upper middle income,Low and middle income,Africa,"",Excluding least developed countries,Excluding China,OIC,Arab,OIC Upper middle income,OIC Middle income,Countdown,North Africa,Africa,Northern Africa,Arab Maghreb Union (AMU),"","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Africa,Northern Africa,"",Northern Africa and Western Asia,Northern Africa,"","","","",Northern Africa and Western Asia,Northern Africa,Northern Africa,Northern Africa (exc. Sudan),"","","","","",Non conflict,Middle East and North Africa,"",Middle East and North Africa,"",Upper middle income,Low and middle income,Middle East and North Africa,"",Upper middle income,Low and middle income,African Group,"","",Non-humanitarian,High burden,"",Middle East and North Africa,Middle East and North Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_North Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_AMU,"","","","","",ECA_Oil producing economies,"",ECA_Mineral-rich countries,"","","","","","",ESCWA_Arab countries,ESCWA_Maghreb subregion,ESCWA_Non-conflict middle income countries,ESCWA_Arab Middle-Income Countries (MICs),"",Middle East and North Africa
Ecuador,Ecuador,118,ECU,218,ECU,Latin America and the Caribbean,Latin America and the Caribbean,"","",Latin America,"",Latin America and Caribbean,Programme countries,"","",Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Americas,Latin America and the Caribbean,South America,Latin America and the Caribbean,"","","","","",Latin America and the Caribbean,Latin America and the Caribbean,South America,Latin America and the Caribbean,"","","","","",Non conflict,Latin America and Caribbean,"","","","","",Latin America and Caribbean,"",Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),"","",Non-humanitarian,Non-high burden,"",Latin America and the Caribbean,Latin America and Caribbean,LiST,"",LiSTSBR,"","","","","","","","","","","",ECLAC_All countries,"","","",ECLAC_Latin America,"","","","","",ESCAP_Latin America (LAC),"","","","","","","","","","","","","","","","","","","","","",Latin America and Caribbean
Egypt,Egypt,52,EGY,818,EGY,Northern Africa,Northern Africa,North Africa,"","","",Middle East and North Africa,Programme countries,MENAEMRO,"",Eastern Mediterranean,"Middle East, North Africa, Afghanistan and Pakistan","Middle East, North Africa, Afghanistan and Pakistan (excluding high-income)",Middle income,Lower middle income,Low and middle income,Africa,"",Excluding least developed countries,Excluding China,OIC,Arab,OIC Lower middle income,OIC Middle income,"",North Africa,Africa,Northern Africa,"",Common Market for Eastern and Southern Africa (COMESA),Community of Sahel-Saharan States (CEN-SAD),"","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,Non-fragile,"",non-FCS,"","",Africa,Northern Africa,"",Northern Africa and Western Asia,Northern Africa,"","","","",Northern Africa and Western Asia,Northern Africa,Northern Africa,Northern Africa (exc. Sudan),"","",HAC,HAC,"",Non conflict,Middle East and North Africa,"",Middle East and North Africa,"",Lower middle income,Low and middle income,Middle East and North Africa,"",Lower middle income,Low and middle income,African Group,"","",Non-humanitarian,Non-high burden,"",Middle East and North Africa,Middle East and North Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_North Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,"","",ECA_CEN-SAD,ECA_COMESA,"","",ECA_Oil producing economies,"","","","","","","","",ESCWA_Arab countries,ESCWA_Mashreq subregion,ESCWA_Non-conflict middle income countries,ESCWA_Arab Middle-Income Countries (MICs),"",Middle East and North Africa
Eritrea,Eritrea,4,ERI,232,ETHB,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Least developed countries,"","",Eastern and Southern Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Least developed countries,Excluding China,"","","","",Countdown,Eastern Africa,Africa,Eastern Africa,"",Common Market for Eastern and Southern Africa (COMESA),Community of Sahel-Saharan States (CEN-SAD),Intergovernmental Authority on Development (IGAD),"","",Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile,Extremely fragile,Fragile and Conflict-affected Situation,Institutional and Social Fragility,"",Africa,Eastern Africa,"",Sub-Saharan Africa,"",Least developed countries,"","","",Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),"",HAC,HAC,Global Strategy,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,"",GAVI,Humanitarian,Non-high burden,Fragile,Eastern and Southern Africa,Eastern and Southern Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_Eastern Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_IGAD,"",ECA_CEN-SAD,ECA_COMESA,"","",ECA_Non-Oil Producing,ECA_Least developed countries,"",ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","","","","","","",Eastern and Southern Africa
Spain,Spain,191,ESP,724,SPN,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Southern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Southern Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Estonia,Estonia,163,EST,233,EST,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Northern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Northern Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Eastern European Group,"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Ethiopia,Ethiopia,5,ETH,231,ETH,Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Least developed countries,"",LLDC,Eastern and Southern Africa,Programme countries,"","",Africa,Sub-Saharan Africa,"","","","",Africa,Sub-Saharan Africa,Least developed countries,Excluding China,"","","","",Countdown,Eastern Africa,Africa,Eastern Africa,"",Common Market for Eastern and Southern Africa (COMESA),"",Intergovernmental Authority on Development (IGAD),"","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Extremely Fragile,Non-fragile,Fragile,Other fragile,Fragile and Conflict-affected Situation,Conflict,USAID,Africa,Eastern Africa,"",Sub-Saharan Africa,"",Least developed countries,Landlocked developing countries,"","",Sub-Saharan Africa,Sub-Saharan Africa,Eastern Africa,Sub-Saharan Africa (inc. Sudan),Least Developed Countries (LDCs),Landlocked developing countries (LLDCs),HAC,HAC,Global Strategy,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,"",GAVI,Humanitarian,High burden,"",Eastern and Southern Africa,Eastern and Southern Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_Eastern Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_IGAD,"","",ECA_COMESA,ECA_Land-locked countries,ECA_Land-locked LDCs,ECA_Non-Oil Producing,ECA_Least developed countries,"",ECA_Non-Oil LDCs,"",ECA_Sub-Saharan Africa,"","","","","","","","",Eastern and Southern Africa
Finland,Finland,173,FIN,246,FIN,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Northern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Northern Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Fiji,Fiji,76,FJI,242,FJI,Oceania,Oceania,"","","",SIDS,East Asia and Pacific,Programme countries,"","",Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Upper middle income,Low and middle income,Oceania,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Oceania,Melanesia,"",Oceania,Oceania (exc. Australia and New Zealand),"",Small island developing States,South-Eastern Asia and Oceania (exc. Australia and New Zealand),"",Oceania (exc. Australia and New Zealand),Oceania,Melanesia,Oceania,"",Small island developing States (SIDS),"","","",Non conflict,East Asia and Pacific,"",East Asia and Pacific,"",Upper middle income,Low and middle income,East Asia and Pacific,"",Upper middle income,Low and middle income,Asia-Pacific Group,"","",Non-humanitarian,Non-high burden,"","","","","","",EAPR Program Countries,EAPR Program Countries (excluding China),Pacific Program Countries,Pacific Program Countries (excluding PNG),EAPR Countries,EAPR Countries (excluding China),Pacific Countries,Pacific Countries (excluding PNG),"","","","","","","","",ESCAP_Pacific island developing economies (PIDE),"","","",ESCAP_PACIFIC (PAC),ESCAP_All countries,"","","","","","","","","","","","","",ESCAP_Countries with Special Needs,ESCAP_Small Islands Developing States,ESCAP_WB Upper Middle Income Economies,"","","","","",East Asia and Pacific
France,France,174,FRA,250,FRA,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Western Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Western Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,ECE_European Union (E25),ECE_Euro area (EMU),"","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
Federated States of Micronesia,Micronesia (Federated States of),77,FSM,583,FSM,Oceania,Oceania,"","","",SIDS,East Asia and Pacific,Programme countries,"","",Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Lower middle income,Low and middle income,Oceania,"",Excluding least developed countries,Excluding China,"","","","","","","","","","","","","","",Fragile,Fragile,Fragile,Fragile,Fragile,Non-fragile,"",Fragile,Non-fragile,"",Fragile and Conflict-affected Situation,Institutional and Social Fragility,"",Oceania,Micronesia,"",Oceania,Oceania (exc. Australia and New Zealand),"",Small island developing States,South-Eastern Asia and Oceania (exc. Australia and New Zealand),"",Oceania (exc. Australia and New Zealand),Oceania,Micronesia,Oceania,"",Small island developing States (SIDS),"","","",Non conflict,East Asia and Pacific,"","","","","",East Asia and Pacific,"",Lower middle income,Low and middle income,Asia-Pacific Group,"","",Non-humanitarian,Non-high burden,Fragile,"","","","","",EAPR Program Countries,EAPR Program Countries (excluding China),Pacific Program Countries,Pacific Program Countries (excluding PNG),EAPR Countries,EAPR Countries (excluding China),Pacific Countries,Pacific Countries (excluding PNG),"","","","","","","","",ESCAP_Pacific island developing economies (PIDE),"","","",ESCAP_PACIFIC (PAC),ESCAP_All countries,"","","","","","","","","","","","","",ESCAP_Countries with Special Needs,ESCAP_Small Islands Developing States,ESCAP_WB Lower Middle Income Economies,"","","","","",East Asia and Pacific
Gabon,Gabon,44,GAB,266,GAB,Sub-Saharan Africa,Sub-Saharan Africa,Central Africa,"","","",West and Central Africa,Programme countries,"","",Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Upper middle income,Low and middle income,Africa,Sub-Saharan Africa,Excluding least developed countries,Excluding China,OIC,Africa,OIC Upper middle income,OIC Middle income,Countdown,Central Africa,Africa,Central Africa,"","","",Economic Community of Central African States (ECCAS),"","",Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,"",Non-fragile,Non-fragile,"",non-FCS,"","",Africa,Middle Africa,"",Sub-Saharan Africa,"","","","","",Sub-Saharan Africa,Sub-Saharan Africa,Middle Africa,Sub-Saharan Africa (inc. Sudan),"","","","","",Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Upper middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Upper middle income,Low and middle income,African Group,Economic Community of Central African States,"",Non-humanitarian,Non-high burden,"",West and Central Africa,West and Central Africa,LiST,"",LiSTSBR,"","","","","","","","","","",ECA_Central Africa,ECA_All countries,"","","","","","","","","",ESCAP_Africa (AFR),ECA_African Union Commission,ECA_ECCAS,"","","","","",ECA_Oil producing economies,"","","","",ECA_Sub-Saharan Africa,"","","","","","","","",West and Central Africa
United Kingdom,United Kingdom,194,GBR,826,UKD,"","","","","","",Non-programme countries,"","","",Europe,Europe and Central Asia,"",High income,High income,"",Europe,"","","","","","","","","","","","","","","","","","","","","","",Non-fragile,"","",Non-fragile,"",non-FCS,"","",Europe,Northern Europe,"",Europe and Northern America,Europe,"","","Europe, Northern America, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Europe and Northern America,Europe,Northern Europe,"","","","","","","",Europe and Central Asia,Western Europe,"","","","","","","","",Western European and Others Group (WEOG),"","",Non-humanitarian,Non-high burden,"","","","","","","","","","","","","","","","","",ECE_All countries,"","","","","","","","","",ESCAP_Europe (Europe),"","","","","","","","","","","","","","","","","","","","","",Western Europe
